backend,build_docs_per_s,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,engine_version,heap,k,lane,manifest,mem_cap,mem_split,n_docs,n_queries,peak_mib_sum,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,recall_at_10,rep,run_id,scale,server_cpu_usec,server_peak_mib,tier,topology,ts_utc,workload
milvus_sparse,24522.5,40.78,37954063,78.6,2.009,75368099,0-11,30000,milvus,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,2509.6,693.1,1.443,495,1.392,1.935,2.22,0,1.0,2,l3s_milvus_sparse_search_r2,small,37414036,2431.0,paper,client_server,2026-07-07T13:13:39.543201+00:00,search
qdrant_sparse,31170.9,32.08,25629575,73.7,0.781,64205893,0-11,30000,qdrant,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,1596.2,768.3,1.302,495,1.293,1.484,1.781,0,1.0,3,l3s_qdrant_sparse_search_r3,small,38576318,1522.5,paper,client_server,2026-07-07T13:14:26.048401+00:00,search
arcadedb_sparse_server,10335.5,96.75,23373938,29.5,0.239,260886532,0-11,30000,server:latest,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,6969.7,100.1,9.994,495,9.764,12.192,13.216,0,0.9902,5,l3s_arcadedb_sparse_server_search_r5,small,237512594,6940.2,paper,client_server,2026-07-07T13:15:02.239871+00:00,search
milvus_sparse,24461.1,40.88,38079484,78.6,1.936,73780169,0-11,30000,milvus,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,2576.2,724.3,1.381,495,1.37,1.586,1.941,0,1.0,5,l3s_milvus_sparse_search_r5,small,35700685,2497.6,paper,client_server,2026-07-07T13:19:01.007546+00:00,search
milvus_sparse,24263.3,41.21,38438484,78.9,2.026,75921738,0-11,30000,milvus,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,2470.5,655.5,1.526,495,1.454,2.123,2.426,0,1.0,4,l3s_milvus_sparse_search_r4,small,37483254,2391.6,paper,client_server,2026-07-07T13:19:48.282443+00:00,search
arcadedb_sparse_server,10427.1,95.9,23455563,29.4,0.239,254659204,0-11,30000,server:latest,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,6996.6,96.1,10.403,495,10.181,12.515,13.621,0,0.9902,2,l3s_arcadedb_sparse_server_search_r2,small,231203641,6967.2,paper,client_server,2026-07-07T13:20:34.878166+00:00,search
arcadedb_sparse_server,10389.3,96.25,23263267,29.1,0.257,280284467,0-11,30000,server:latest,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,6924.1,96.4,10.378,495,10.191,12.475,13.726,0,0.9902,1,l3s_arcadedb_sparse_server_search_r1,small,257021200,6895.0,paper,client_server,2026-07-07T13:24:27.104758+00:00,search
qdrant_sparse,32211.5,31.04,25465535,73.8,0.903,63100098,0-11,30000,qdrant,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,1664.4,844.2,1.185,495,1.174,1.358,1.578,0,1.0,1,l3s_qdrant_sparse_search_r1,small,37634563,1590.6,paper,client_server,2026-07-07T13:28:44.144245+00:00,search
milvus_sparse,24262.5,41.22,38401715,78.4,1.951,74414655,0-11,30000,milvus,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,2487.0,727.0,1.376,495,1.368,1.593,1.752,0,1.0,1,l3s_milvus_sparse_search_r1,small,36012940,2408.5,paper,client_server,2026-07-07T13:29:19.642917+00:00,search
elasticsearch_sparse,7708.8,129.72,40651883,53.8,0.788,163264296,0-11,30000,9.0.0,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,4965.4,288.6,3.464,495,3.153,5.345,6.195,0,0.991,2,l3s_elasticsearch_sparse_search_r2,small,122612413,4911.6,paper,client_server,2026-07-07T13:30:06.231459+00:00,search
qdrant_sparse,31859.9,31.39,25393437,73.7,0.766,63586415,0-11,30000,qdrant,8g,10,l3s,20260707T131339Z,16g,0.75,1000000,500,1505.1,807.9,1.238,495,1.223,1.424,1.567,0,1.0,2,l3s_qdrant_sparse_search_r2,small,38192978,1431.4,paper,client_server,2026-07-07T13:32:28.544177+00:00,search
