backend,build_s,client_cpu_usec,client_peak_mib,connect_s,cpu_usec_sum,cpuset,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,lane,manifest,mem_cap,mem_split,n_persons,oltp_total_s,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,rc,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,server_cpu_usec,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,workload,write_p50_ms,write_p95_ms
arcadedb_graph_embedded,3.16,11550716,2064.9,0.518,11550716,0-11,26.7.2.dev0,83.43,79.47,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,2064.9,,,,0,5,l2_arcadedb_graph_embedded_olap_r5,62.49,48.65,10,tiny,,,paper,12.67,9.36,10,embedded,2026-07-07T20:38:01.797855+00:00,olap,,
arcadedb_graph_embedded,2.11,13033230,1515.0,0.521,13033230,0-11,26.7.2.dev0,,,,4g,0.783,0.96,1.361,1.125,2.655,4.825,l2,20260707T203801Z,8g,,10000,1.29,1515.0,0.532,0.771,0.949,0,4,l2_arcadedb_graph_embedded_oltp_r4,,,,tiny,,,paper,,,,embedded,2026-07-07T20:38:07.386121+00:00,oltp,5.544,8.543
arcadedb_graph_server,7.42,778799,22.6,0.248,29067709,0-11,server:latest,,,,4g,1.37,1.746,2.545,1.825,2.597,3.388,l2,20260707T203801Z,8g,0.75,10000,1.82,3691.9,1.489,2.138,2.305,0,1,l2_arcadedb_graph_server_oltp_r1,,,,tiny,28288910,3669.2,paper,,,,client_server,2026-07-07T20:38:12.303476+00:00,oltp,6.151,8.153
ladybug_graph,0.43,1130909,241.8,0.144,1130909,0-11,real_ladybug:0.15.3,9.18,8.59,10,4g,,,,,,,l2,20260707T203801Z,8g,,10000,,241.8,,,,0,2,l2_ladybug_graph_olap_r2,9.39,8.3,10,tiny,,,paper,4.07,3.98,10,embedded,2026-07-07T20:38:24.783830+00:00,olap,,
neo4j_graph,5.58,3109990,93.8,0.719,31405026,0-11,neo4j-driver:6.2.0,65.29,62.85,10,4g,,,,,,,l2,20260707T203801Z,8g,0.75,10000,,4995.1,,,,0,1,l2_neo4j_graph_olap_r1,59.14,58.66,10,tiny,28295036,4901.3,paper,44.82,36.2,10,client_server,2026-07-07T20:38:26.450035+00:00,olap,,
neo4j_graph,5.62,3455921,94.9,0.728,39742013,0-11,neo4j-driver:6.2.0,,,,4g,6.381,8.351,9.184,4.731,6.982,8.248,l2,20260707T203801Z,8g,0.75,10000,4.89,5057.2,6.256,11.601,14.528,0,5,l2_neo4j_graph_oltp_r5,,,,tiny,36286092,4962.4,paper,,,,client_server,2026-07-07T20:38:44.641817+00:00,oltp,8.354,13.942
ladybug_graph,0.44,5551213,237.6,0.138,5551213,0-11,real_ladybug:0.15.3,,,,4g,1.074,1.189,1.48,4.206,4.474,4.546,l2,20260707T203801Z,8g,,10000,2.6,237.6,0.131,0.176,0.225,0,1,l2_ladybug_graph_oltp_r1,,,,tiny,,,paper,,,,embedded,2026-07-07T20:39:06.716456+00:00,oltp,16.042,19.491
arcadedb_graph_server,7.34,797546,22.6,0.254,28212853,0-11,server:latest,,,,4g,1.651,2.265,2.488,1.948,2.711,3.287,l2,20260707T203801Z,8g,0.75,10000,1.93,3685.7,1.379,1.938,3.2,0,2,l2_arcadedb_graph_server_oltp_r2,,,,tiny,27415307,3663.1,paper,,,,client_server,2026-07-07T20:39:10.899607+00:00,oltp,6.287,9.346
arcadedb_graph_embedded,2.09,11555526,1574.9,0.532,11555526,0-11,26.7.2.dev0,,,,4g,0.579,0.821,1.103,0.864,1.573,2.081,l2,20260707T203801Z,8g,,10000,1.2,1574.9,0.411,0.748,4.505,0,5,l2_arcadedb_graph_embedded_oltp_r5,,,,tiny,,,paper,,,,embedded,2026-07-07T20:39:23.499806+00:00,oltp,7.012,7.505
ladybug_graph,0.41,5493367,228.7,0.127,5493367,0-11,real_ladybug:0.15.3,,,,4g,1.065,1.187,1.408,4.188,4.482,4.619,l2,20260707T203801Z,8g,,10000,2.22,228.7,0.134,0.195,0.35,0,3,l2_ladybug_graph_oltp_r3,,,,tiny,,,paper,,,,embedded,2026-07-07T20:39:28.053068+00:00,oltp,10.291,15.169
