backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
neo4j_graph,,47.91,18642666,88.7,1.0,88.7,94.0,0.727,88707115,0-11,,9027.0,neo4j-driver:6.2.0,850.41,842.61,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,,9038.9,9557.2,,,,,,,,,,0,,,,,,,3,l2_neo4j_graph_olap_r3,783.18,775.43,10,small,,70064449,8938.4,308.6,8950.2,9463.2,paper,505.0,496.03,10,client_server,2026-07-11T01:24:59.954213+00:00,,,,,,olap,,
milvus_sparse,24484.0,40.84,38053188,70.5,1.0,71.5,78.9,2.15,73159690,0-11,30000,1616.0,milvus,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,0.75,1000000,,500,,,,,,,,,,1800.0,2452.5,,,,727.4,1.375,495,1.374,1.563,1.729,0,,,,,,1.0,5,l3s_milvus_sparse_search_r5,,,,small,,35106502,1545.5,691.0,1728.5,2373.6,paper,,,,client_server,2026-07-11T01:26:12.632212+00:00,,,,,,search,,
elasticsearch_sparse,6243.5,160.17,40030788,47.2,0.7,47.9,53.1,0.736,205747104,0-11,30000,2747.1,9.4.1,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,0.75,1000000,,500,,,,,,,,,,2747.7,3741.1,,,,362.3,2.76,495,2.576,4.189,5.199,0,,,,,,0.9292,5,l3s_elasticsearch_sparse_search_r5,,,,small,,165716316,2699.9,251.8,2699.9,3687.9,paper,,,,client_server,2026-07-11T01:26:58.907084+00:00,,,,,,search,,
arcadedb_graph_embedded,,32.06,55787432,1676.1,150.8,6696.3,7191.8,0.53,55787432,0-11,,1676.1,26.8.1.dev0,603.65,577.41,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,,6696.3,7191.8,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_embedded_olap_r5,562.56,545.23,10,small,,,,,,,paper,86.32,80.08,10,embedded,2026-07-11T01:29:59.186107+00:00,,,,,,olap,,
neo4j_graph,,47.81,18614221,88.7,1.0,88.7,94.5,0.72,89006198,0-11,,9026.7,neo4j-driver:6.2.0,841.08,836.3,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,,9026.7,9562.9,,,,,,,,,,0,,,,,,,1,l2_neo4j_graph_olap_r1,792.06,788.04,10,small,,70391977,8938.0,308.3,8938.0,9468.4,paper,500.26,493.95,10,client_server,2026-07-11T01:30:40.559406+00:00,,,,,,olap,,
arcadedb_server,,,8390395,17.4,0.1,17.5,21.0,0.051,132429064,0-11,,5661.9,server:latest,,,,8g,,,,,,,37901.7,52.77,,,,,,,l1,20260711T012458Z,16g,0.75,,,,2000000,1836.291,1311.212,1297.849,1434.684,1625.421,7505.457,,,5662.0,5928.0,,,,,,,,,,0,,,,,,,2,l1_arcadedb_server_olap_r2,,,,small,0.194,124038669,5644.5,239.0,5644.5,5907.0,paper,,,,client_server,2026-07-11T01:31:53.045748+00:00,,,,,,olap,,
neo4j_graph,,47.72,19149605,89.0,1.0,89.0,94.5,0.736,89546723,0-11,,9060.2,neo4j-driver:6.2.0,,,,8g,4.07,5.496,6.343,3.888,5.466,6.996,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,7.57,9060.2,9547.6,4.241,7.512,8.675,,,,,,,0,,,,,,,4,l2_neo4j_graph_oltp_r4,,,,small,,70397118,8971.3,308.4,8971.3,9453.1,paper,,,,client_server,2026-07-11T01:33:48.784107+00:00,,,,,,oltp,7.301,12.477
ladybug_graph,,2.58,16824690,382.8,38.1,382.8,501.4,0.131,16824690,0-11,,382.8,ladybug:0.18.1,,,,8g,2.332,3.949,5.14,6.699,8.672,11.4,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,5.53,382.8,501.4,0.152,0.184,0.258,,,,,,,0,,,,,,,5,l2_ladybug_graph_oltp_r5,,,,small,,,,,,,paper,,,,embedded,2026-07-11T01:34:55.708691+00:00,,,,,,oltp,9.571,10.337
ladybug_graph,,2.64,6049901,380.0,38.2,380.0,476.4,0.123,6049901,0-11,,380.0,ladybug:0.18.1,67.56,66.59,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,,380.0,476.4,,,,,,,,,,0,,,,,,,2,l2_ladybug_graph_olap_r2,70.82,69.71,10,small,,,,,,,paper,4.59,4.07,10,embedded,2026-07-11T01:35:04.782422+00:00,,,,,,olap,,
neo4j_graph,,47.7,19202708,88.9,1.0,88.9,94.6,0.722,88418021,0-11,,9072.2,neo4j-driver:6.2.0,,,,8g,3.84,5.276,6.222,3.411,5.121,6.861,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,7.33,9072.2,9549.8,4.546,7.638,9.172,,,,,,,0,,,,,,,2,l2_neo4j_graph_oltp_r2,,,,small,,69215313,8983.3,308.4,8983.3,9455.2,paper,,,,client_server,2026-07-11T01:35:09.115317+00:00,,,,,,oltp,7.236,12.283
