backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,error,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
neo4j_graph,,488.91,166355323,172.7,1.0,173.7,178.6,0.745,868797625,0-11,,17844.0,neo4j-driver:6.2.0,,22772.88,21980.12,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,17845.1,19967.3,,,,,,,,,,0,,,,,,,3,l2_neo4j_graph_olap_r3,21811.19,21686.48,10,medium,,702442302,17671.3,2014.9,17671.5,19788.8,paper,13857.88,13625.38,10,client_server,2026-07-11T03:53:11.011905+00:00,,,,,,olap,,
milvus_sparse,22611.5,442.25,408252160,71.0,0.7,71.0,78.5,2.152,1370960814,0-11,30000,5865.5,milvus,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,8871.1,17627.1,,,,142.5,7.016,95,6.869,9.609,11.296,0,,,,,,1.0,5,l3s_milvus_sparse_search_r5,,,,medium,,962708654,5794.4,7664.5,8800.1,17548.6,paper,,,,client_server,2026-07-11T04:07:22.483006+00:00,,,,,,search,,
elasticsearch_sparse,6274.0,1593.87,380777076,47.9,1.8,47.9,54.5,0.813,1594188710,0-11,30000,2764.3,9.4.1,,,,,16g,,,,,,,,,,,,,,10,l3s,20260711T035309Z,32g,0.75,10000000,,100,,,,,,,,,,3403.5,7973.5,,,,103.5,9.657,95,9.123,14.386,21.572,0,,,,,,0.91,5,l3s_elasticsearch_sparse_search_r5,,,,medium,,1213411634,2716.4,2462.5,3355.6,7919.0,paper,,,,client_server,2026-07-11T04:14:52.758355+00:00,,,,,,search,,
arcadedb_graph_embedded,,619.05,989331281,3632.7,1576.4,15741.1,17399.7,0.56,989331281,0-11,,3632.7,26.8.1.dev0,,11310.07,11234.93,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,15741.1,17399.7,,,,,,,,,,0,,,,,,,5,l2_arcadedb_graph_embedded_olap_r5,10829.26,10752.31,10,medium,,,,,,,paper,986.04,945.82,10,embedded,2026-07-11T04:41:46.587727+00:00,,,,,,olap,,
neo4j_graph,,488.98,165567220,84.7,1.0,173.6,178.7,0.73,869507294,0-11,,17754.1,neo4j-driver:6.2.0,,22256.88,22197.69,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,,17843.2,20130.3,,,,,,,,,,0,,,,,,,1,l2_neo4j_graph_olap_r1,21799.29,21706.77,10,medium,,703940074,17669.4,2179.4,17669.6,19951.6,paper,13725.62,13646.93,10,client_server,2026-07-11T04:54:26.688121+00:00,,,,,,olap,,
arcadedb_server,,,82150774,17.4,0.1,17.6,21.1,0.051,941119444,0-11,,12993.6,server:latest,"Traceback (most recent call last):
  File ""/work/l1_tabular.py"", line 411, in <module>
    main()
  File ""/work/l1_tabular.py"", line 398, in main
    out.update(b.olap())
               ^^^^^^^^
  File ""/work/l1_tabular.py"", line 163, in olap
    self.query_all(sql)
  File ""/work/l1_tabular.py"", line 332, in query_all
    return self._post(""query"", sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/work/l1_tabular.py"", line 319, in _post
    r.raise_for_status()
  File ""/usr/local/lib/python3.12/site-packages/requests/models.py"", line 1167, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 500 Server Error: Internal Server Error for url: http://srv-l1_arcadedb_server_olap_r2:2480/api/v1/query/bench
",,,,16g,,,,,,,37901.7,52.77,,,,,,,l1,20260711T035309Z,32g,0.75,,,,2000000,1836.291,1311.212,1297.849,1434.684,1625.421,7505.457,,,12997.6,15378.1,,,,,,,,,,1,,,,,,,2,l1_arcadedb_server_olap_r2,,,,medium,0.194,858968670,12976.2,2276.5,12980.0,15357.0,paper,,,,client_server,2026-07-11T05:08:37.799916+00:00,,,,,,olap,,
neo4j_graph,,488.14,165993035,173.1,1.0,173.1,178.8,0.714,506968437,0-11,,17899.5,neo4j-driver:6.2.0,,,,,16g,4.506,6.173,14.896,4.681,6.617,7.801,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,4.13,17899.5,19970.8,5.124,8.199,9.069,,,,,,,0,,,,,,,4,l2_neo4j_graph_oltp_r4,,,,medium,,340975402,17726.4,1902.3,17726.4,19792.1,paper,,,,client_server,2026-07-11T05:23:28.570774+00:00,,,,,,oltp,7.43,13.108
ladybug_graph,,21.1,59900602,2064.3,417.3,2356.2,3344.5,0.127,59900602,0-11,,2064.3,ladybug:0.18.1,,,,,16g,1.366,1.801,1.955,5.371,6.883,7.39,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,2.39,2356.2,3344.5,0.18,0.271,0.354,,,,,,,0,,,,,,,5,l2_ladybug_graph_oltp_r5,,,,medium,,,,,,,paper,,,,embedded,2026-07-11T05:31:52.773971+00:00,,,,,,oltp,9.76,12.899
ladybug_graph,,21.06,74334246,2318.3,385.0,2377.1,3353.1,0.126,74334246,0-11,,2318.3,ladybug:0.18.1,,272.46,270.85,10,16g,,,,,,,,,,,,,,,l2,20260711T035309Z,32g,,,1000000,,,,,,,,,,,2377.1,3353.1,,,,,,,,,,0,,,,,,,2,l2_ladybug_graph_olap_r2,283.14,280.21,10,medium,,,,,,,paper,43.14,40.97,10,embedded,2026-07-11T05:32:17.359276+00:00,,,,,,olap,,
neo4j_graph,,487.92,167315679,173.5,1.0,173.5,179.5,0.721,508580196,0-11,,17859.6,neo4j-driver:6.2.0,,,,,16g,4.728,6.232,14.427,4.673,6.582,7.591,,,,,,,,,l2,20260711T035309Z,32g,0.75,,1000000,,,,,,,,,,4.19,17860.2,19930.7,4.998,8.172,9.472,,,,,,,0,,,,,,,2,l2_neo4j_graph_oltp_r2,,,,medium,,341264517,17686.1,1902.2,17686.7,19751.2,paper,,,,client_server,2026-07-11T05:32:42.961521+00:00,,,,,,oltp,7.683,12.775
