backend,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,end_anon_mib_sum,engine_version,heap,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,lane,manifest,mem_cap,mem_split,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,peak_anon_mib_sum,peak_mib_sum,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,rep,run_id,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload
arcadedb_server,81789956,0.0,0.1,17.6,21.2,0.051,1432219798,0-11,16631.2,server:latest,16g,26929.6,742.68,,,,,,l1,20260712T001904Z,32g,0.75,20000000,17894.536,12914.812,12830.501,14321.95,16557.604,74519.403,,16654.6,19057.8,0,,,,,,5,l1_arcadedb_server_olap_r5,medium,0.199,1350429842,16631.2,2293.4,16637.0,19036.6,paper,client_server,2026-07-12T00:19:04.434028+00:00,,,,,,olap
arcadedb_embedded,1266457512,237.7,2268.7,13243.9,15611.6,0.384,1266457512,0-11,237.7,26.8.1.dev0,16g,30719.4,651.05,,,,,,l1,20260712T001904Z,32g,,20000000,16782.942,11935.555,12117.767,13109.593,15292.112,69237.969,,13243.9,15611.6,0,,,,,,1,l1_arcadedb_embedded_olap_r1,medium,0.171,,,,,,paper,embedded,2026-07-12T00:41:26.996901+00:00,,,,,,olap
arcadedb_server,84240715,17.5,0.1,17.6,21.3,0.051,785683683,0-11,12848.5,server:latest,16g,27421.2,729.36,0.9976,1006,0.9795,1.2541,1.4613,l1,20260712T001904Z,32g,0.75,20000000,,,,,,,1336.7,12885.3,15349.8,0,0.6637,3068,0.6301,0.9402,1.1308,5,l1_arcadedb_server_oltp_r5,medium,0.19,701442968,12831.0,2288.5,12867.7,15328.5,paper,client_server,2026-07-12T01:01:34.194980+00:00,0.757,926,0.7405,1.0494,1.2251,oltp
arcadedb_embedded,686577214,966.4,2268.9,12951.8,15663.5,0.387,686577214,0-11,966.4,26.8.1.dev0,16g,31318.9,638.59,0.4035,1006,0.3723,0.505,0.5735,l1,20260712T001904Z,32g,,20000000,,,,,,,5450.3,12951.8,15663.5,0,0.0829,3068,0.0763,0.1489,0.1905,5,l1_arcadedb_embedded_oltp_r5,medium,0.171,,,,,,paper,embedded,2026-07-12T01:13:50.703317+00:00,0.2775,926,0.1934,0.381,0.4758,oltp
arcadedb_embedded,1243817609,8533.1,2268.7,13260.2,15656.3,0.394,1243817609,0-11,8533.1,26.8.1.dev0,16g,31525.9,634.4,,,,,,l1,20260712T001904Z,32g,,20000000,16713.203,11842.794,11978.002,12883.796,15034.495,68452.29,,13260.2,15656.3,0,,,,,,5,l1_arcadedb_embedded_olap_r5,medium,0.17,,,,,,paper,embedded,2026-07-12T01:24:32.073883+00:00,,,,,,olap
arcadedb_server,84647762,17.5,0.1,17.6,21.0,0.05,786686232,0-11,12895.6,server:latest,16g,27426.7,729.22,1.0041,1006,1.0083,1.1812,1.3049,l1,20260712T001904Z,32g,0.75,20000000,,,,,,,1312.0,12900.0,15412.0,0,0.6755,3068,0.658,0.8411,0.9691,4,l1_arcadedb_server_oltp_r4,medium,0.186,702038470,12878.2,2278.2,12882.4,15391.0,paper,client_server,2026-07-12T01:44:16.030611+00:00,0.7868,926,0.7675,0.9437,1.1032,oltp
arcadedb_server,82342917,17.4,0.1,17.6,21.1,0.051,1405599619,0-11,16408.2,server:latest,16g,27455.5,728.45,,,,,,l1,20260712T001904Z,32g,0.75,20000000,17968.455,12741.26,12760.551,14286.708,16347.57,74104.544,,16408.4,18807.6,0,,,,,,1,l1_arcadedb_server_olap_r1,medium,0.197,1323256702,16390.8,2289.6,16390.8,18786.4,paper,client_server,2026-07-12T01:56:32.297551+00:00,,,,,,olap
arcadedb_server,82034259,17.4,0.1,17.6,20.9,0.051,1404971637,0-11,16556.4,server:latest,16g,27525.7,726.59,,,,,,l1,20260712T001904Z,32g,0.75,20000000,18043.464,12677.058,12790.351,14308.266,16343.865,74163.004,,16563.4,18945.6,0,,,,,,4,l1_arcadedb_server_olap_r4,medium,0.197,1322937378,16539.0,2273.8,16545.8,18924.7,paper,client_server,2026-07-12T02:18:36.566502+00:00,,,,,,olap
arcadedb_embedded,1261263555,102.2,2268.8,13279.6,15663.8,0.393,1261263555,0-11,102.2,26.8.1.dev0,16g,30872.0,647.84,,,,,,l1,20260712T001904Z,32g,,20000000,16809.85,11915.7,12077.925,12992.556,15054.501,68850.532,,13279.6,15663.8,0,,,,,,2,l1_arcadedb_embedded_olap_r2,medium,0.175,,,,,,paper,embedded,2026-07-12T02:40:39.123203+00:00,,,,,,olap
arcadedb_server,83880434,17.5,0.1,17.6,21.0,0.052,799002622,0-11,12894.9,server:latest,16g,27002.9,740.66,1.0286,1006,0.9999,1.2694,1.4157,l1,20260712T001904Z,32g,0.75,20000000,,,,,,,1288.5,12901.8,15385.7,0,0.6915,3068,0.6587,0.9512,1.1353,3,l1_arcadedb_server_oltp_r3,medium,0.203,715122188,12877.4,2333.4,12884.2,15364.6,paper,client_server,2026-07-12T03:00:39.825813+00:00,0.7819,926,0.756,1.0463,1.2018,oltp
arcadedb_server,82473501,17.4,0.1,17.6,21.3,0.05,1415234943,0-11,16345.9,server:latest,16g,27147.6,736.71,,,,,,l1,20260712T001904Z,32g,0.75,20000000,18092.377,12783.198,12814.322,14218.017,16465.391,74373.305,,16348.0,18756.7,0,,,,,,3,l1_arcadedb_server_olap_r3,medium,0.2,1332761442,16328.4,2293.1,16330.4,18735.4,paper,client_server,2026-07-12T03:13:07.614163+00:00,,,,,,olap
